content
매일 그릇씻고 삶고 하느라 너무 피곤해서 여기저기 알아보고 샀는데 <em>사실 실망이 큽니다</em>스텐제품에 물자국이 너무 선명해서 아니 이걸 깨끗하다고 생각된다는 사람들은 뭔가 싶고 ... 흰도자기 그릇은 티가 안나지만 텐은 확연하게 티가나서 다시 헹궈야 하는 두번을 일을 ..서툰탓인지 흰물자국외에도 삶아 내는것 만큼은 절대로 깨끗하지 않다 ㅠㅠ 밥그릇 대충 씻는 사람들은 없을텐데 왜들 그렇게 만족들을 하는지 난 왜 불만족스러운지 모를 일이다 그러나 제품이 고장나거나 설치가 잘못된것은 아니다주문하고 다음날 바로 설치해 주시러 오셨고 그전에 오전에 전화해서 약속잡고 중간에 확인 전화까지 해 주고 제시간에 딱 오셔서 깔끔하고 빠르게 설치해 주시고 자세히 설명까지 해주고 제대로 알아들었는지 <em>확인까지 해주고 가셔서 너무 고마웠다</em> 모양도 이쁜데... 다좋은데 제품이.... 린스 올인원으로 구입한 세제인데 <em>만족스럽지 못하니</em> 그냥 내가 씻고ㅜ헹굼만 해야ㅜ댈라나 에효
D0633WFK 이 제품의 가장 큰 단점부터 말씀드립니다.1.<em>UV살균기능이 없습니다</em>. 80도 증기살균 뿐입니다2.세척완료 후 자동문 개폐기능이 없습니다. 3.내부 출수구가 좌우 측면과 상단에는 없습니다. (후면과 하단 뿐입니다) 총평: <em>빌트 인 제품급 기능을 기대하셨다면 비추</em>.  공간에 맞게 설겆이 보조개념(증기살균)으로 보신다면 추천
6월 26일에 구매했는데 7월 17일에 왔네요<br><br>배송은 그냥 인내심을 갖고 기다렸구요<br><br>설치형인건 알았지만 씽크대 구멍뚫어야한다는건<br><br>설치기사분이 오셔서 설명해줄때 알았네요<br><br>기본구성에 전용세제도 안들어있어서 일단<br><br>못쓰고있어서 기능적인 설명은 못하겠어요<br><br>엘지라는 브랜드 믿고 사긴했는데 구멍을 뚫는게<br><br>좀 그렇긴하네요
12인용보다는 깨끗하게 씻기는편은 아니예요<br><br>물나오는곳이 하단에만 있어서요...<br><br>나머지는 만족합니다^^
생각보다 세척이 잘 되진 않고 오래걸리네요..설치는 꼼꼼히 잘 해주셨어요
부부 2식구라서 6인용 주문해서 배송 기사님 잘 설치해주시고 가셨답니다.<br><br>저는 주로 설거지해서 보관용으로 사용을 많이 합니다.<br><br>식기세척기 이지만 시간도 걸리고 해서 세척사용은 많이 하지 않구요
한달도 넘어서 받아가지고...ㅠㅠ 생각보다 크기가 엄청크네요... 좋습니다...
"배송보통,설치 기사님 친절하고 빠른설치 맘에속드러요<br><br><em>건조 기능 조금약해서 좀아쉬워요</em>~ㅠㅠ"
엄청 오래 걸림<br><br>기다리다 짜증남
섲걸이한것처럼깨끗하게안닦여요
지난달 30일에 주문후 배송 희망일이 11월 9일부터길래 어쩔수 없이 9일로 정했습니다. 근데 문자는 배송예정일이 15일이더군요.. 그런데 예정일이 지나도 연락도 없이 안오길래 문의전화했더니 21일에 온다더군요. 본인들도 어쩔수 없으니 기다릴수밖에 없다는 말만 하시고요. 결국 그마저도 어기시고 23일에 왔습니다. 해외배송도 이정도 까지 아닐뿐더러 늦으면 지연된다는 문자없이 고객이 계속 전화문의하게 하는건 아니라고 봅니다. <br>문제는 식기세척기에요. 시간이 너무 느려요.. 꽃는거야 5인가족에? 다소 적어 나누어 잘 정리하며 넣는건 (그것도 애들 도시락판 뚜껑이랑 넣으면 잘 안닫혀요...)그렇다치고 제대로 세척하려면 기본 1시간 50분정도 됩니다... 타사는 10만원<em>정도 더 저렴하고 </em>세제도 에코리버4통주던데..시간도 반이나 단축되더라고요.. 늦어질때 취소할걸 엄청<em>후회하고 있어요</em>.. 보통은 일주일 설치 기본이던데..설치기사님만 친절하셨습니다...제품이랑 고객센터 다 <em>마음에 안들어요</em>. 허리 디스크때문에 그래도 이름있는걸로 서비스 잘 받으려 산게 도리어 마이너스가 ?네요... 다시는 여기서 안삽니다.
상품은 맘에 드나 설치기사님 숟가락꽂이를 비스듬이 넣어 세척하라니요 방법설명을 이상하게 하시네요<br>필터질문을 하니 퉁명스럽게 대답을 하시고 중간에 담배를 피고오셨는지 담배냄새..별로친절하지않으시면서 매너가 없으신듯 수령일보다 늦게도착하면 미리연락안주시나요 제가 전화를 늦게받은탓이라니 처음부터별로네요 언제도착하는지 문자카톡 미리공지 당연한것 아닌가요
배송 진짜오래걸려서 받았는데 하자있는제품받았고<br><br>서비스에도 하자가있어서 지금 기다리고만있네요<br><br>맘같아선 취소하고싶은데 구매후엔 엘지랑 직접해결해야한다고 하니 환장하겠네요.....
사이즈가 너무커서 그냥 갖고갔어요
"한달넘게 기다릴 자신 없으면 사지 말아야겠어요. 엘지 카톡 문자도 없이 설치 당일 아침에 갑자기 전화가 오질 않나.. 함께 산 언니네 제품은 아직 설치도 안됐고, 부품(호스) 수급이 원활하지 않다고 하네요. 엘지 물류센터마다 재고가 다른가봐요. 엘지 판매에만 급급하고 <em>이후처리는 미흡한 모습 실망이에요</em>.<br>제품 세척력은 좋은데 건조는 완료후에도 물기가 남아있으니 필히 문은 열어두어야 할듯해요. 그리고 <em>작동 소음이 좀 있긴 해요</em>. <em>디자인은 예뻐요</em>."
"<em>한달만에 받아서 너무힘들었네요</em>.. 배수구를 안보이게 해달라고 했는데, 끝까지 안된다고 하면서, 싱크대에 눈에보이게 설치해놨는데 <em>좀 속상하네요</em>.. 귀찮아서 그러는건지 딴사람들은 배수구를 설치 다 한걸로 보이는데,  누군되고 , <em>누군안되고 너무나 황당하네요</em>...   "
"새로 이사간 집에 싱크위에 식기 건조대가 없어서고민하다가 식기 세척기 사기로 결심12인승 대용량 사서 싱크에 빌트인 할까 하다가 싱크대 작업까지 포함 130 정도 들꺼 생각하니그냥 6인종 싱크 위에 올려 두는 것으로 결정. 6인용 이라고는 하나 너무 작습니다. 그냥 접시 몇개 컵 몇개 정도.후라이팬 등 함께 사용 못해요. 완료 후 자동 문열림 없어 그릇의 생김에 따라 물고임 있음.LG - SmartThinq(IoT) 연결안되서 불편함. 타블릿 형태의 식기세척제가 아니고 일반 액체형 세제를 넣는거라....세제 넣는곳도  액체 세제를 문짝에 그냥 얹어 놓는 식이라 좀 웃김. 전 차라리 식기 건조기 살껄 하는 생각식기를 소독하는 용도로는 아주 좋음.그래서 컵, 접시 소독 용도로 사용아가들 있는집은 물병 소독기 사지 말고 겸용으로 사용하면 될것 같은데....음식물을 청소하던 곳이라... 냄새가 조금 남아 있을수 있어서 가능할지는.."
오리기름은 그대로이내요.손이 아파 주문했는데.설치기사님이 테이프도 제거 재대로 안해주시면서 세척 바로해도 ?다고...나중레 보니 뜨거운물에 테이프가 샛이 바랬네요.골렙벋이 떼면서 싱크대 문쩍 걸려 필림지라구해야하나요 떨어지니 본드사다 붙이라구...뭔가 엉성
처음사용하는거라 조금은 덜씻기는것 같은데 몇번 써보면 괜찮겠죠 ㅎㅎ
선물로줬는데 좋아합니다
금요일에 배송왔다가 맞는 호스가 없어서 다시 토요일 1시에 온다했다가 (물건을 떨어뜨렸다고함) 또 다시 5시로 연기해서 이제 겨우 설치했어요.
설겆이가 윗층까지 깔끔하게 되진 않아요..<br>자동문열림도 안돼서 좀 불편하고요..<br>하지만 있으니 편하긴 하네요
good
배송빠름  세제없음 가루세제사러 마트다니느라 짜증  짜증 전용세제  1회용 이라도줘야지
자동열림기능이 없어서 아쉬움
아직 사용중인데 생각보다  아주 큰만족도는 아직 없습니다 그래도 UV살균과 고온살균이 있어서 요즘같은때에는 유용할듯합니다 소음은 세탁기정도로 생각하시면 될듯합니다 디자인은  깔끔한편입니다~~ 
씽크대 위에 올리려고 하니 이 사이즈를 선택할수밖에 없었어요첫 설거지를 해보았는데 정말 너무 조금 들어가요아쉬운대로 잘써보렵니다
만족 젖병소독도 고온살균 다좋아여<br>신세계네뇨 굿굿굿
진동 소음때문에 AS받았습니다배송은 설치기사님 안내 부족으로불편한점이 있었고요여하튼 이래저래  해결하고사용중입니다.가격대비 음..  추전하기는 어려울것같아요UV기능 있는상품인데그닥 필요한것같지는 안네요
"처음 배송받은 식기세척기에 기기 오류가 자주 발생해서 제품교체받았습니다. 교체된 식기세척기는 잘 작동되긴하지만, 처음 받았던 제품이 별로였던지라 미심쩍네요."
배송은 다소느렸지만 제품은 좋아연
생각보다는 그닥싱크태 구멍내는비 본인부담 ㅠㅠ
배송은 이상하게 늦었지만너무 좋네요.빌트인을 못해서 차선책으로 샀어요.
매직 쓰더가 바꿨는데 건조기능이 너무 심하게 약해요~~지금 후회중~원래 바짝 말라야 기분이 좋운데~~흠~~슬픕니다 .구매하실때 건조기능을 잘 보셔야 할듯 합니다
설치후 시운전 후 사진 입니다.
기사분친절하세요배송은늦었어요.세제가아직배송중이라사용은못했어요.
배송은 2주정도 걸렸고 1층칸에 가득채우니 2층칸에 있는 그릇들이 잘 안씻기네요. 기대를 너무 했었는지 좀 실망하긴 했습니다. 그릇을 적게 띠엄띠엄 놓으니 잘 씻기긴 합니다.
배송이 오래걸렸지만 기사님은 친절히설치해주셨어요. 다만 싱크대 상판에 큰 구멍을뚫어야하는<em>점이 아쉽네요</em>.. 세척은 몇번해본결과 <em>만족합니다</em>. 건조해도 완전히 마르지않아 물기가 많이남네요
소음이 있어요. 5년전이나 지금이나 기술의 발전이 없는듯.
배송이 좀 늦은것외에 대체로 만족하네요
자동 문열림이 안되고 그릇이 깨끗하게 닦이지가 않네요ㅜㅜ다시 헹굼할 때가 많아요
배송이 일단 정말 느렸습니다 2주 넘게 걸렸습니다.<br>또한 생각했던것보다 소음이 크고 기대가 컸는지<br>그만큼 실망도 했습니다
이왕사는거 큰거로 비싼거사세요.
기대했던만큼 세척력이 좋진 않네요...<br>오히려 번거로운 느낌도 나고 ㅠ
불림코스 2시간 넘게 세척해도 깨끗이 안닦여요 이게 50 만원 넘는 식기세척기가 맞긴하나요? 너무 실망입니다 반품 할수도 없고.. 사지 마세요 이건 세척기가 아닙니다
처음에는 2일3일이내라고 쓰여있었는데 연락도 안되고 2주가 지나도 계속 배송중으로 나오네요. 배송조회도 안되고 연락처는 무응답에 이런 업체는. . .  나름 사정을 있었겠지만..고객에게 태만한 자세 절대 .... 그래서 반품 했어요
집에 설치하고 하루에 두 세번씩 10일 정도 돌려봤는데<br>단 두번만 제대로 작업이 끝났고 나머지는 전부 에러가 났어요.<br>오늘 다시 교환 받았는데 제대로 사용할 수 있으면 좋겠습니다.
배송 직구도 아닌데 엄청 오래걸렸습니다배송은 아주 별루인데설치기사님은 친절하십니다
배송이 늦어도 너~~무 느림 ㅠ <br>연락도 없고 기다리다 지쳐 취소
불신
